"gender","race/ethnicity","parental_level_of_education","lunch","test_preparation_course","math_score","reading_score","writing_score",pass_math,pass_reading,pass_writing
female,group B,bachelor's degree,standard,none,C,C,C,1,1,1
female,group C,some college,standard,completed,D,A,B,1,1,1
female,group B,master's degree,standard,none,A,A,A,1,1,1
male,group A,associate's degree,free/reduced,none,F,F,F,0,0,0
male,group C,some college,standard,none,C,C,C,1,1,1
female,group B,associate's degree,standard,none,C,B,C,1,1,1
female,group B,some college,standard,completed,B,A,A,1,1,1
male,group B,some college,free/reduced,none,F,F,F,0,0,0
male,group D,high school,free/reduced,completed,D,D,D,1,1,1
female,group B,high school,free/reduced,none,F,D,F,0,1,0
male,group C,associate's degree,standard,none,F,F,F,0,0,0
male,group D,associate's degree,standard,none,F,F,F,0,0,0
female,group B,high school,standard,none,D,B,C,1,1,1
male,group A,some college,standard,completed,C,C,C,1,1,1
female,group A,master's degree,standard,none,F,F,F,0,0,0
female,group C,some high school,standard,none,D,C,C,1,1,1
male,group C,high school,standard,none,B,B,B,1,1,1
female,group B,some high school,free/reduced,none,F,F,F,0,0,0
male,group C,master's degree,free/reduced,completed,F,F,F,0,0,0
female,group C,associate's degree,free/reduced,none,F,F,D,0,0,1
male,group D,high school,standard,none,D,D,D,1,1,1
female,group B,some college,free/reduced,completed,D,C,C,1,1,1
male,group D,some college,standard,none,F,F,F,0,0,0
female,group C,some high school,standard,none,D,C,C,1,1,1
male,group D,bachelor's degree,free/reduced,completed,C,C,B,1,1,1
male,group A,master's degree,free/reduced,none,C,C,C,1,1,1
male,group B,some college,standard,none,D,F,F,1,0,0
female,group C,bachelor's degree,standard,none,D,D,C,1,1,1
male,group C,high school,standard,none,C,C,D,1,1,1
female,group D,master's degree,standard,none,D,C,C,1,1,1
female,group D,some college,standard,none,D,C,C,1,1,1
female,group B,some college,standard,none,D,D,D,1,1,1
female,group E,master's degree,free/reduced,none,F,C,D,0,1,1
male,group D,some college,standard,none,F,F,F,0,0,0
male,group E,some college,standard,none,A,B,B,1,1,1
male,group E,associate's degree,standard,completed,B,B,C,1,1,1
female,group D,associate's degree,standard,none,C,B,B,1,1,1
female,group D,some high school,free/reduced,none,F,D,F,0,1,0
female,group D,associate's degree,free/reduced,completed,C,A,B,1,1,1
male,group B,associate's degree,free/reduced,none,F,F,F,0,0,0
male,group C,associate's degree,free/reduced,none,F,D,F,0,1,0
female,group C,associate's degree,standard,none,F,C,D,0,1,1
female,group B,associate's degree,standard,none,F,F,D,0,0,1
male,group B,some college,free/reduced,completed,F,D,D,0,1,1
female,group E,associate's degree,free/reduced,none,F,F,F,0,0,0
male,group B,associate's degree,standard,none,D,F,F,1,0,0
female,group A,associate's degree,standard,completed,F,D,D,0,1,1
female,group C,high school,standard,none,D,C,C,1,1,1
female,group D,associate's degree,free/reduced,completed,F,C,C,0,1,1
male,group C,high school,standard,completed,B,B,B,1,1,1
male,group E,some college,standard,none,F,F,F,0,0,0
male,group E,associate's degree,free/reduced,completed,C,D,D,1,1,1
male,group C,some college,standard,none,F,F,F,0,0,0
male,group D,high school,standard,none,B,C,C,1,1,1
female,group C,some high school,free/reduced,completed,C,B,B,1,1,1
female,group C,high school,free/reduced,none,F,F,F,0,0,0
female,group E,associate's degree,standard,completed,B,B,B,1,1,1
male,group D,associate's degree,standard,none,F,F,F,0,0,0
male,group D,some college,standard,completed,F,F,F,0,0,0
female,group C,some high school,free/reduced,none,F,F,F,0,0,0
male,group E,bachelor's degree,free/reduced,completed,C,C,C,1,1,1
male,group A,some high school,free/reduced,none,F,F,F,0,0,0
male,group A,associate's degree,free/reduced,none,D,D,F,1,1,0
female,group C,associate's degree,standard,none,D,B,C,1,1,1
female,group D,some high school,standard,none,F,F,F,0,0,0
male,group B,some high school,standard,none,D,D,D,1,1,1
male,group D,some high school,free/reduced,none,F,F,F,0,0,0
female,group C,some college,standard,none,D,C,C,1,1,1
male,group B,associate's degree,free/reduced,none,D,F,F,1,0,0
female,group C,associate's degree,standard,none,F,D,F,0,1,0
female,group D,some college,free/reduced,completed,F,D,C,0,1,1
male,group D,some college,standard,completed,D,F,D,1,0,1
female,group A,associate's degree,free/reduced,none,F,F,F,0,0,0
male,group C,some high school,free/reduced,none,D,F,F,1,0,0
male,group C,some high school,standard,none,F,F,F,0,0,0
male,group B,associate's degree,free/reduced,none,F,F,F,0,0,0
male,group E,some high school,standard,none,F,F,F,0,0,0
male,group A,bachelor's degree,standard,completed,B,C,B,1,1,1
female,group D,some high school,standard,completed,D,C,C,1,1,1
female,group E,master's degree,standard,none,D,D,D,1,1,1
female,group B,associate's degree,standard,none,F,F,F,0,0,0
male,group B,high school,free/reduced,none,F,F,F,0,0,0
male,group A,some college,free/reduced,completed,F,F,F,0,0,0
male,group E,associate's degree,standard,none,C,D,D,1,1,1
male,group D,high school,free/reduced,none,F,F,F,0,0,0
female,group C,some college,standard,none,C,B,B,1,1,1
female,group C,some college,free/reduced,none,C,B,B,1,1,1
female,group D,associate's degree,standard,none,C,C,C,1,1,1
female,group A,some college,standard,none,F,C,D,0,1,1
female,group D,some high school,standard,none,C,B,B,1,1,1
female,group C,bachelor's degree,standard,none,D,C,C,1,1,1
male,group C,high school,free/reduced,none,F,F,F,0,0,0
male,group C,high school,standard,none,C,C,C,1,1,1
male,group C,associate's degree,free/reduced,completed,F,F,F,0,0,0
female,group B,some college,standard,none,C,B,A,1,1,1
male,group C,associate's degree,free/reduced,completed,C,B,B,1,1,1
male,group B,some high school,standard,completed,D,D,D,1,1,1
female,group E,some college,standard,completed,D,C,C,1,1,1
female,group D,some college,free/reduced,none,F,D,D,0,1,1
female,group D,bachelor's degree,standard,none,D,D,D,1,1,1
male,group B,some college,standard,none,C,D,D,1,1,1
male,group D,bachelor's degree,standard,completed,D,C,C,1,1,1
female,group D,associate's degree,standard,none,B,A,B,1,1,1
male,group B,high school,standard,completed,D,F,F,1,0,0
male,group C,some college,standard,completed,A,B,A,1,1,1
female,group C,some college,standard,none,F,D,C,0,1,1
female,group D,master's degree,standard,none,B,A,A,1,1,1
male,group E,associate's degree,standard,completed,D,D,D,1,1,1
female,group B,associate's degree,free/reduced,none,F,C,C,0,1,1
female,group B,some high school,standard,none,C,D,C,1,1,1
female,group D,associate's degree,free/reduced,completed,C,B,A,1,1,1
male,group C,high school,standard,none,D,F,F,1,0,0
male,group A,associate's degree,standard,none,F,F,F,0,0,0
female,group D,some college,standard,none,F,F,F,0,0,0
female,group E,bachelor's degree,standard,completed,A,A,A,1,1,1
male,group C,high school,standard,none,B,C,C,1,1,1
female,group B,bachelor's degree,free/reduced,none,C,B,B,1,1,1
female,group D,bachelor's degree,standard,none,C,B,C,1,1,1
female,group D,some high school,standard,none,F,D,D,0,1,1
female,group C,some college,standard,none,F,D,D,0,1,1
female,group C,bachelor's degree,standard,completed,C,A,B,1,1,1
male,group B,associate's degree,standard,completed,A,B,A,1,1,1
female,group C,some college,standard,completed,B,A,A,1,1,1
male,group D,high school,free/reduced,none,D,F,F,1,0,0
male,group E,some college,standard,none,B,B,C,1,1,1
female,group B,high school,standard,none,B,A,B,1,1,1
male,group B,some high school,standard,none,C,D,D,1,1,1
male,group D,some college,standard,completed,D,C,C,1,1,1
male,group D,master's degree,standard,none,B,B,C,1,1,1
female,group A,bachelor's degree,standard,none,F,F,F,0,0,0
male,group D,master's degree,standard,none,B,B,B,1,1,1
male,group C,some high school,free/reduced,completed,F,F,F,0,0,0
male,group E,some college,free/reduced,completed,B,C,C,1,1,1
female,group C,some college,standard,completed,C,B,B,1,1,1
male,group D,bachelor's degree,free/reduced,completed,C,C,C,1,1,1
